question_id,mu,sigma,se_before,se_mean,se_std,delta_se,question,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10
jp_742--32/32_1368333.txt#0_2,2.0,0.5,-2.22e-16,1.323047778,0.050672588,-0.009132391,,,,,,,,,,,
jp_742--32/32_1368333.txt#0_2,2.0,1.0,-2.22e-16,1.287219118,0.101877262,-0.044961052,,,,,,,,,,,
jp_742--32/32_1368333.txt#0_2,2.0,2.0,-2.22e-16,1.15318459,0.207571761,-0.178995579,,,,,,,,,,,
wh_3212--72/72_800524.txt#0_2,0.0,0.5,-2.22e-16,1.295951028,0.020585858,-0.005287328,,,,,,,,,,,
wh_3212--72/72_800524.txt#0_2,0.0,1.0,-2.22e-16,1.284995035,0.04578769,-0.016243321,,,,,,,,,,,
wh_3212--72/72_800524.txt#0_2,0.0,2.0,-2.22e-16,1.215942167,0.103257033,-0.085296189,,,,,,,,,,,
wh_3212--72/72_800524.txt#0_2,0.5,0.5,-2.22e-16,1.297308131,0.023067875,-0.003930225,,,,,,,,,,,
wh_3212--72/72_800524.txt#0_2,0.5,1.0,-2.22e-16,1.28378925,0.046731136,-0.017449106,,,,,,,,,,,
wh_3212--72/72_800524.txt#0_2,0.5,2.0,-2.22e-16,1.203289099,0.110849149,-0.097949257,,,,,,,,,,,
wh_3212--72/72_800524.txt#0_2,1.0,0.5,-2.22e-16,1.296036986,0.023814044,-0.00520137,,,,,,,,,,,
wh_3212--72/72_800524.txt#0_2,1.0,1.0,-2.22e-16,1.282048545,0.049666454,-0.019189811,,,,,,,,,,,
wh_3212--72/72_800524.txt#0_2,1.0,2.0,-2.22e-16,1.209323811,0.0951595,-0.091914545,,,,,,,,,,,
wh_3212--72/72_800524.txt#0_2,2.0,0.5,-2.22e-16,1.294272416,0.020607352,-0.00696594,,,,,,,,,,,
wh_3212--72/72_800524.txt#0_2,2.0,1.0,-2.22e-16,1.276482516,0.043443424,-0.02475584,,,,,,,,,,,
wh_3212--72/72_800524.txt#0_2,2.0,2.0,-2.22e-16,1.20170785,0.099467934,-0.099530507,,,,,,,,,,,
qb_1502--134/134_2618044.txt#0_0,0.0,0.5,-2.22e-16,1.491901571,0.105100442,-0.017477649,,,,,,,,,,,
qb_1502--134/134_2618044.txt#0_0,0.0,1.0,-2.22e-16,1.435036395,0.186569211,-0.074342824,,,,,,,,,,,
qb_1502--134/134_2618044.txt#0_0,0.0,2.0,-2.22e-16,1.224434969,0.285905293,-0.284944251,,,,,,,,,,,
qb_1502--134/134_2618044.txt#0_0,0.5,0.5,-2.22e-16,1.494975103,0.099868524,-0.014404117,,,,,,,,,,,
qb_1502--134/134_2618044.txt#0_0,0.5,1.0,-2.22e-16,1.444340566,0.18348316,-0.065038654,,,,,,,,,,,
qb_1502--134/134_2618044.txt#0_0,0.5,2.0,-2.22e-16,1.262669685,0.276890084,-0.246709535,,,,,,,,,,,
qb_1502--134/134_2618044.txt#0_0,1.0,0.5,-2.22e-16,1.504816955,0.094850467,-0.004562265,,,,,,,,,,,
qb_1502--134/134_2618044.txt#0_0,1.0,1.0,-2.22e-16,1.454934347,0.170303054,-0.054444873,,,,,,,,,,,
qb_1502--134/134_2618044.txt#0_0,1.0,2.0,-2.22e-16,1.262616209,0.272255489,-0.246763011,,,,,,,,,,,
